seller_id,platform,category,kind,region,impressions,clicks,enrolled,risk_rating,manual_file_ingested,optin_cta_tagged,impression_tag_valid,click_date,enrollment_date,product_opted,campaign_id,seller_tenure_months,conversion_rate
SELL10049,App,Electronics,Small Business,East,19,19,1,1.73,Yes,No,No,13-03-2025,21-03-2025,Subscription,CMP386,18,1
SELL10050,Web,Electronics,Individual,West,18,0,0,2.95,Yes,No,No,05-02-2025,,Subscription,CMP911,2,0
SELL10051,Mobile Web,Fashion,Small Business,East,3,2,1,2.89,No,No,No,11-04-2025,09-04-2025,Subscription,CMP819,30,0.67
SELL10052,Web,Fashion,Small Business,North,9,4,1,3.97,Yes,Yes,Yes,03-03-2025,22-03-2025,One-Time Fee,CMP595,18,0.44
SELL10053,Web,Fashion,Small Business,South,19,16,1,2.44,No,Yes,Yes,22-02-2025,18-02-2025,Subscription,CMP146,4,0.84
SELL10054,Web,Books,Individual,North,18,9,1,3.3,No,No,No,14-04-2025,18-04-2025,Subscription,CMP288,4,0.5
SELL10055,Web,Books,Small Business,North,9,7,1,3.31,Yes,Yes,Yes,03-02-2025,16-02-2025,One-Time Fee,CMP411,6,0.78
SELL10056,App,Toys,Enterprise,South,8,1,1,4.1,No,No,No,07-02-2025,11-03-2025,Subscription,CMP980,28,0.12
SELL10057,Mobile Web,Electronics,Individual,South,10,9,1,2.06,Yes,Yes,Yes,23-02-2025,02-04-2025,Stored Value,CMP665,5,0.9
SELL10058,Mobile Web,Toys,Small Business,East,6,0,0,1.13,No,No,No,06-04-2025,,Stored Value,CMP803,15,0
SELL10059,Web,Books,Individual,South,9,9,1,3.59,No,Yes,Yes,07-03-2025,22-02-2025,Stored Value,CMP269,20,1
SELL10060,App,Electronics,Small Business,East,20,18,0,3.8,No,No,No,25-02-2025,,Stored Value,CMP712,3,0.9
SELL10061,App,Electronics,Individual,South,14,11,1,4.85,Yes,No,Yes,08-02-2025,01-02-2025,Stored Value,CMP581,34,0.79
SELL10062,Mobile Web,Books,Enterprise,West,15,8,1,4.88,No,No,No,18-04-2025,13-04-2025,Subscription,CMP428,7,0.53
SELL10063,App,Home,Enterprise,West,6,2,1,4.25,Yes,No,Yes,06-02-2025,14-04-2025,Subscription,CMP358,21,0.33
SELL10064,Web,Toys,Small Business,West,4,3,0,1.22,No,No,No,13-04-2025,,Stored Value,CMP308,18,0.75
SELL10065,App,Books,Individual,North,18,4,0,4.89,Yes,Yes,No,31-01-2025,,One-Time Fee,CMP114,36,0.22
SELL10066,Web,Books,Individual,South,14,1,1,2.99,No,No,No,02-02-2025,05-04-2025,Subscription,CMP583,16,0.07
SELL10067,Mobile Web,Toys,Enterprise,South,15,4,1,4.46,No,No,No,22-02-2025,26-03-2025,One-Time Fee,CMP373,1,0.27
SELL10068,Mobile Web,Books,Individual,West,10,4,0,3.15,No,No,No,22-03-2025,,Subscription,CMP429,13,0.4
SELL10069,App,Electronics,Small Business,West,8,6,1,3.82,No,No,Yes,22-04-2025,26-04-2025,Subscription,CMP137,9,0.75
SELL10070,App,Electronics,Enterprise,West,17,10,0,1.06,Yes,No,Yes,14-02-2025,,Stored Value,CMP580,17,0.59
SELL10071,Mobile Web,Electronics,Small Business,West,11,9,1,4.82,No,Yes,Yes,22-04-2025,19-04-2025,Stored Value,CMP746,19,0.82
SELL10072,Web,Electronics,Small Business,South,8,1,1,3.78,Yes,Yes,No,15-03-2025,15-04-2025,Stored Value,CMP400,23,0.12
SELL10073,Mobile Web,Books,Enterprise,South,12,6,1,1.68,Yes,No,Yes,09-02-2025,10-03-2025,Subscription,CMP697,10,0.5
SELL10074,App,Home,Enterprise,North,8,7,1,4.6,No,No,Yes,15-02-2025,23-02-2025,Stored Value,CMP552,23,0.88
SELL10075,App,Home,Small Business,East,19,9,1,1.8,No,No,Yes,15-03-2025,27-03-2025,Stored Value,CMP490,23,0.47
SELL10076,App,Electronics,Enterprise,West,19,9,0,2.1,Yes,No,No,27-02-2025,,Stored Value,CMP721,23,0.47
SELL10077,Mobile Web,Fashion,Enterprise,North,8,3,1,4.61,Yes,No,No,04-03-2025,21-03-2025,Stored Value,CMP693,24,0.38
SELL10078,App,Books,Individual,South,5,0,0,1.53,No,No,Yes,12-03-2025,,Subscription,CMP944,31,0
SELL10079,App,Electronics,Individual,South,10,5,0,4.44,No,No,Yes,16-02-2025,,Subscription,CMP114,17,0.5
SELL10080,Mobile Web,Home,Enterprise,West,18,3,1,4.29,No,Yes,Yes,04-03-2025,21-03-2025,Subscription,CMP125,36,0.17
SELL10081,Web,Books,Enterprise,East,11,9,1,3.6,Yes,Yes,Yes,14-02-2025,13-02-2025,Stored Value,CMP411,32,0.82
SELL10082,Mobile Web,Fashion,Small Business,West,4,0,0,2.48,No,Yes,No,08-04-2025,,One-Time Fee,CMP201,32,0
SELL10083,App,Electronics,Enterprise,East,20,13,0,1.87,No,Yes,No,19-03-2025,,Stored Value,CMP802,24,0.65
SELL10084,App,Fashion,Individual,West,18,11,1,1.37,Yes,Yes,Yes,01-02-2025,02-04-2025,Subscription,CMP349,9,0.61
SELL10085,Mobile Web,Fashion,Enterprise,South,19,6,1,4.25,Yes,No,Yes,06-03-2025,18-03-2025,One-Time Fee,CMP102,18,0.32
SELL10086,Web,Electronics,Enterprise,North,5,1,1,1.53,No,Yes,No,16-04-2025,18-04-2025,Stored Value,CMP278,17,0.2
SELL10087,Mobile Web,Electronics,Enterprise,North,2,0,0,2.9,No,Yes,No,18-03-2025,,One-Time Fee,CMP326,3,0
SELL10088,Web,Electronics,Small Business,West,17,9,1,2.71,Yes,No,No,17-02-2025,07-03-2025,Stored Value,CMP182,21,0.53
SELL10089,App,Toys,Enterprise,East,20,4,1,2.52,No,No,No,19-04-2025,19-04-2025,Stored Value,CMP912,8,0.2
SELL10090,Web,Books,Small Business,West,18,6,1,2.59,Yes,No,No,04-03-2025,27-03-2025,Subscription,CMP781,17,0.33
SELL10091,App,Electronics,Individual,North,12,2,1,1.37,Yes,No,Yes,09-02-2025,12-03-2025,One-Time Fee,CMP161,36,0.17
SELL10092,App,Home,Enterprise,West,18,10,1,4.47,Yes,No,No,27-04-2025,11-04-2025,Subscription,CMP206,33,0.56
SELL10093,Web,Electronics,Small Business,East,7,2,1,1.46,No,Yes,No,17-02-2025,20-04-2025,One-Time Fee,CMP885,36,0.29
SELL10094,App,Home,Small Business,East,1,1,1,1.02,Yes,No,Yes,22-03-2025,08-02-2025,Stored Value,CMP858,2,1
SELL10095,App,Home,Individual,East,3,1,1,2.25,No,Yes,Yes,05-04-2025,14-03-2025,Stored Value,CMP261,4,0.33
SELL10096,App,Books,Enterprise,West,3,2,1,2.66,Yes,Yes,No,19-04-2025,19-04-2025,Subscription,CMP213,19,0.67
SELL10097,App,Electronics,Individual,West,19,15,1,4.94,Yes,Yes,Yes,28-03-2025,27-02-2025,Subscription,CMP316,9,0.79
SELL10098,Web,Books,Enterprise,West,9,4,1,1.7,No,Yes,No,12-02-2025,23-04-2025,Stored Value,CMP506,3,0.44
SELL10099,Web,Home,Enterprise,West,14,0,0,3.29,No,No,Yes,05-04-2025,,Subscription,CMP121,21,0
SELL10100,App,Home,Individual,West,6,6,0,4.38,Yes,No,No,10-04-2025,,One-Time Fee,CMP180,26,1
SELL10101,Web,Electronics,Enterprise,North,10,5,1,3.12,Yes,No,No,23-04-2025,04-02-2025,One-Time Fee,CMP938,10,0.5
SELL10102,Web,Fashion,Enterprise,South,8,1,1,4.04,Yes,Yes,No,03-04-2025,05-04-2025,Subscription,CMP872,29,0.12
SELL10103,Mobile Web,Home,Individual,West,19,19,1,1.27,No,No,No,18-03-2025,21-03-2025,One-Time Fee,CMP157,23,1
SELL10104,App,Electronics,Individual,East,17,2,1,4.33,Yes,Yes,No,02-04-2025,03-03-2025,Subscription,CMP694,36,0.12
SELL10105,Mobile Web,Fashion,Small Business,West,2,1,0,3.01,Yes,No,Yes,11-02-2025,,Subscription,CMP831,6,0.5
SELL10106,Mobile Web,Books,Small Business,South,17,5,1,2.46,No,No,No,21-02-2025,03-04-2025,Subscription,CMP795,4,0.29
SELL10107,Mobile Web,Books,Small Business,East,11,1,1,3.89,Yes,No,Yes,20-04-2025,19-02-2025,One-Time Fee,CMP779,10,0.09
SELL10108,Mobile Web,Books,Individual,North,12,4,0,2.24,No,No,Yes,07-02-2025,,One-Time Fee,CMP819,34,0.33
SELL10109,Web,Home,Small Business,South,3,3,1,4.8,No,No,Yes,11-02-2025,01-04-2025,Stored Value,CMP240,10,1
SELL10110,Web,Toys,Enterprise,North,3,2,0,3.65,Yes,No,Yes,05-03-2025,,Stored Value,CMP285,11,0.67
SELL10111,Mobile Web,Fashion,Small Business,East,15,1,1,4.01,No,Yes,Yes,03-04-2025,06-03-2025,Subscription,CMP928,31,0.07
SELL10112,Mobile Web,Books,Small Business,East,7,5,1,4.11,No,Yes,Yes,28-03-2025,02-04-2025,One-Time Fee,CMP241,17,0.71
SELL10113,App,Toys,Individual,North,2,2,1,2.14,Yes,No,No,09-02-2025,23-02-2025,One-Time Fee,CMP250,28,1
SELL10114,App,Electronics,Small Business,North,3,1,0,2.59,No,Yes,No,15-03-2025,,Stored Value,CMP483,15,0.33
SELL10115,Mobile Web,Home,Individual,South,1,1,0,1.15,No,Yes,No,30-03-2025,,Subscription,CMP730,1,1
SELL10116,Web,Toys,Enterprise,West,3,0,0,1.44,No,Yes,No,03-03-2025,,Stored Value,CMP148,16,0
SELL10117,App,Electronics,Individual,West,14,10,0,3.39,Yes,Yes,Yes,04-03-2025,,Subscription,CMP539,1,0.71
SELL10118,App,Fashion,Enterprise,North,20,11,1,3.09,No,Yes,Yes,02-03-2025,18-02-2025,Subscription,CMP994,31,0.55
SELL10119,App,Home,Enterprise,North,2,2,1,2.43,Yes,No,Yes,29-04-2025,21-04-2025,One-Time Fee,CMP772,7,1
SELL10120,App,Toys,Small Business,South,19,10,1,4.32,No,No,Yes,08-04-2025,15-03-2025,Stored Value,CMP164,30,0.53
SELL10121,Web,Electronics,Small Business,East,2,1,1,3.06,No,No,Yes,27-02-2025,27-02-2025,One-Time Fee,CMP295,19,0.5
SELL10122,Mobile Web,Home,Small Business,North,12,12,1,4.2,No,No,No,10-02-2025,25-04-2025,Subscription,CMP447,12,1
SELL10123,Mobile Web,Home,Individual,West,16,15,1,1.32,Yes,No,No,09-02-2025,10-03-2025,Stored Value,CMP181,21,0.94
SELL10124,Mobile Web,Books,Individual,West,10,4,1,2.41,Yes,No,No,17-04-2025,19-04-2025,Subscription,CMP754,4,0.4
SELL10125,Mobile Web,Fashion,Individual,South,3,3,1,4.39,No,Yes,Yes,12-04-2025,09-03-2025,Stored Value,CMP341,24,1
SELL10126,Web,Toys,Individual,West,12,6,0,4.8,No,No,Yes,25-02-2025,,One-Time Fee,CMP240,34,0.5
SELL10127,App,Fashion,Individual,North,12,6,1,3.94,No,No,Yes,21-03-2025,20-04-2025,Subscription,CMP893,17,0.5
SELL10128,App,Books,Individual,North,15,6,0,1.54,Yes,No,Yes,27-04-2025,,One-Time Fee,CMP555,6,0.4
SELL10129,Web,Toys,Enterprise,East,11,10,1,4.57,Yes,Yes,No,21-02-2025,29-04-2025,One-Time Fee,CMP329,8,0.91
SELL10130,App,Electronics,Small Business,East,7,2,1,2.87,Yes,Yes,Yes,11-02-2025,24-02-2025,Subscription,CMP507,31,0.29
SELL10131,Mobile Web,Electronics,Individual,East,17,13,0,3.57,No,No,No,16-04-2025,,Stored Value,CMP999,36,0.76
SELL10132,Web,Books,Enterprise,North,19,5,0,4.33,Yes,No,Yes,17-02-2025,,Stored Value,CMP430,15,0.26
SELL10133,Web,Home,Individual,East,12,8,0,1.5,No,Yes,Yes,30-03-2025,,One-Time Fee,CMP694,10,0.67
SELL10134,Mobile Web,Home,Enterprise,North,6,5,1,4.3,Yes,Yes,Yes,10-04-2025,04-04-2025,One-Time Fee,CMP889,17,0.83
SELL10135,Web,Books,Enterprise,East,7,6,1,3.57,No,No,Yes,04-03-2025,15-04-2025,One-Time Fee,CMP515,20,0.86
SELL10136,Web,Books,Small Business,West,15,2,1,2.86,No,Yes,No,20-03-2025,04-02-2025,One-Time Fee,CMP426,23,0.13
SELL10137,Mobile Web,Toys,Individual,East,13,2,0,1.97,Yes,No,No,13-02-2025,,Stored Value,CMP244,7,0.15
SELL10138,Mobile Web,Books,Individual,South,2,1,0,4.25,No,Yes,Yes,29-04-2025,,Subscription,CMP627,30,0.5
SELL10139,Web,Books,Enterprise,West,16,9,1,4.87,Yes,No,Yes,27-02-2025,29-03-2025,Stored Value,CMP388,32,0.56
SELL10140,App,Toys,Individual,North,20,20,1,2.72,No,No,No,18-04-2025,12-04-2025,Subscription,CMP146,26,1
SELL10141,App,Toys,Small Business,North,2,2,1,2.55,No,No,Yes,26-02-2025,02-02-2025,Stored Value,CMP199,26,1
SELL10142,Mobile Web,Home,Individual,South,12,12,0,3.41,No,Yes,Yes,03-04-2025,,Stored Value,CMP240,22,1
SELL10143,Mobile Web,Toys,Individual,East,16,16,1,4.73,No,Yes,No,06-02-2025,29-04-2025,One-Time Fee,CMP857,20,1
SELL10144,Mobile Web,Toys,Small Business,East,19,10,1,2.9,Yes,No,No,18-04-2025,14-03-2025,One-Time Fee,CMP212,27,0.53
SELL10145,Mobile Web,Electronics,Enterprise,West,19,9,0,2.06,Yes,Yes,No,27-02-2025,,Stored Value,CMP636,25,0.47
SELL10146,Mobile Web,Electronics,Individual,North,5,5,1,2.76,No,Yes,No,19-03-2025,22-02-2025,One-Time Fee,CMP308,27,1
SELL10147,Mobile Web,Electronics,Enterprise,South,17,15,0,3.07,No,No,No,02-03-2025,,Subscription,CMP277,30,0.88
SELL10148,Mobile Web,Home,Enterprise,West,18,10,1,1.77,Yes,No,No,05-03-2025,30-03-2025,Stored Value,CMP404,19,0.56
SELL10149,App,Toys,Enterprise,East,7,7,1,2.15,No,No,No,29-03-2025,03-03-2025,Stored Value,CMP397,3,1
SELL10150,App,Home,Enterprise,West,10,1,1,1.86,No,No,Yes,09-02-2025,09-03-2025,Stored Value,CMP730,16,0.1
SELL10151,Mobile Web,Fashion,Enterprise,South,8,0,0,1.21,No,No,No,04-03-2025,,Stored Value,CMP797,9,0
SELL10152,App,Books,Enterprise,South,1,0,0,4.02,No,No,No,20-04-2025,,One-Time Fee,CMP160,6,0
SELL10153,Mobile Web,Electronics,Individual,West,19,7,1,4.53,Yes,Yes,No,08-04-2025,30-03-2025,Subscription,CMP290,19,0.37
SELL10154,Mobile Web,Electronics,Small Business,East,2,0,0,2.82,No,Yes,No,19-03-2025,,Subscription,CMP297,8,0
SELL10155,Mobile Web,Home,Enterprise,South,11,2,0,1.06,No,No,Yes,10-02-2025,,Stored Value,CMP725,26,0.18
SELL10156,App,Electronics,Individual,South,14,8,1,2.91,Yes,Yes,No,29-03-2025,14-02-2025,Subscription,CMP341,29,0.57
SELL10157,Mobile Web,Toys,Individual,East,9,5,1,3.61,Yes,Yes,Yes,01-03-2025,26-03-2025,Subscription,CMP414,11,0.56
SELL10158,Mobile Web,Home,Enterprise,North,13,10,1,3.55,No,No,Yes,08-02-2025,16-03-2025,Stored Value,CMP236,31,0.77
SELL10159,Mobile Web,Home,Small Business,West,5,3,0,4.03,Yes,Yes,Yes,28-04-2025,,One-Time Fee,CMP557,34,0.6
SELL10160,Web,Electronics,Enterprise,South,12,1,0,3.29,Yes,Yes,No,05-04-2025,,One-Time Fee,CMP552,8,0.08
SELL10161,Mobile Web,Books,Individual,West,7,7,1,1.53,No,No,Yes,09-04-2025,19-02-2025,One-Time Fee,CMP573,20,1
SELL10162,Web,Fashion,Enterprise,North,1,1,1,1.18,No,Yes,Yes,14-03-2025,14-03-2025,Stored Value,CMP583,3,1
SELL10163,Web,Books,Small Business,West,10,6,1,2.79,No,No,Yes,08-03-2025,18-04-2025,One-Time Fee,CMP777,35,0.6
SELL10164,Web,Fashion,Enterprise,West,5,5,0,3.12,Yes,Yes,Yes,05-02-2025,,Subscription,CMP574,35,1
SELL10165,Web,Fashion,Small Business,East,14,8,1,1.62,Yes,Yes,Yes,14-03-2025,03-03-2025,One-Time Fee,CMP529,2,0.57
SELL10166,Mobile Web,Electronics,Small Business,North,8,3,1,1.98,Yes,No,No,16-04-2025,23-02-2025,Stored Value,CMP652,14,0.38
SELL10167,App,Fashion,Enterprise,East,2,0,0,3.31,No,Yes,No,16-03-2025,,Stored Value,CMP776,34,0
SELL10168,Web,Toys,Enterprise,South,8,6,1,3.5,No,No,Yes,02-02-2025,31-01-2025,Subscription,CMP758,25,0.75
SELL10169,App,Fashion,Small Business,West,17,10,1,1.74,No,Yes,Yes,20-03-2025,22-02-2025,Subscription,CMP978,10,0.59
SELL10170,App,Toys,Enterprise,South,15,1,1,2.55,No,Yes,No,28-02-2025,27-03-2025,One-Time Fee,CMP180,29,0.07
SELL10171,Web,Electronics,Small Business,West,12,1,1,3.69,Yes,Yes,Yes,31-01-2025,17-02-2025,One-Time Fee,CMP841,36,0.08
SELL10172,App,Home,Individual,South,7,7,1,4.75,Yes,No,Yes,21-02-2025,05-03-2025,One-Time Fee,CMP718,14,1
SELL10173,App,Books,Small Business,East,13,3,1,2.23,No,No,No,17-02-2025,05-04-2025,Stored Value,CMP922,31,0.23
SELL10174,App,Electronics,Enterprise,South,11,3,1,3.97,Yes,No,No,03-04-2025,17-04-2025,Subscription,CMP256,13,0.27
SELL10175,Web,Books,Enterprise,East,11,3,1,2.03,No,No,No,12-04-2025,10-04-2025,Stored Value,CMP850,23,0.27
SELL10176,App,Fashion,Enterprise,North,6,1,0,3.1,Yes,Yes,Yes,03-04-2025,,Subscription,CMP240,15,0.17
SELL10177,Mobile Web,Books,Small Business,North,3,1,1,3.47,No,No,Yes,01-03-2025,28-03-2025,Stored Value,CMP644,36,0.33
SELL10178,Mobile Web,Home,Enterprise,East,14,0,1,1.07,No,Yes,Yes,18-02-2025,11-04-2025,Stored Value,CMP636,10,0
SELL10179,App,Home,Small Business,West,8,3,1,1.32,No,No,Yes,03-03-2025,24-04-2025,One-Time Fee,CMP331,20,0.38
SELL10180,App,Books,Enterprise,West,3,0,1,1.22,Yes,Yes,Yes,27-03-2025,16-04-2025,Subscription,CMP965,28,0
SELL10181,Web,Toys,Individual,South,11,9,0,1.85,No,No,Yes,11-04-2025,,Stored Value,CMP800,18,0.82
SELL10182,Web,Home,Individual,South,18,18,1,3.35,No,Yes,No,16-02-2025,28-04-2025,Stored Value,CMP677,16,1
SELL10183,Mobile Web,Home,Small Business,South,19,12,1,4.16,Yes,No,Yes,02-03-2025,28-02-2025,Stored Value,CMP547,15,0.63
SELL10184,Mobile Web,Toys,Small Business,East,3,2,1,1.12,No,No,No,16-04-2025,12-04-2025,Stored Value,CMP464,36,0.67
SELL10185,Mobile Web,Books,Individual,East,13,6,1,4.19,Yes,Yes,No,21-03-2025,17-04-2025,Stored Value,CMP489,10,0.46
SELL10186,Web,Electronics,Small Business,West,13,5,1,2.44,No,Yes,Yes,09-04-2025,15-03-2025,Stored Value,CMP291,28,0.38
SELL10187,Web,Home,Enterprise,North,15,13,1,3.39,No,No,Yes,07-03-2025,02-02-2025,Subscription,CMP523,25,0.87
SELL10188,Web,Books,Individual,South,3,1,1,2.08,No,No,Yes,28-02-2025,27-02-2025,Stored Value,CMP271,28,0.33
SELL10189,Web,Home,Small Business,South,9,6,1,3.88,No,Yes,No,11-03-2025,05-04-2025,Stored Value,CMP238,20,0.67
SELL10190,Mobile Web,Books,Small Business,West,1,1,1,2.34,Yes,No,No,03-03-2025,20-02-2025,One-Time Fee,CMP811,13,1
SELL10191,App,Home,Small Business,West,16,10,1,4.87,Yes,No,No,06-02-2025,27-04-2025,Subscription,CMP936,26,0.62
SELL10192,Web,Toys,Enterprise,South,12,1,0,3.73,Yes,No,Yes,25-04-2025,,Subscription,CMP916,19,0.08
SELL10193,Web,Home,Individual,East,3,3,1,3.63,No,No,Yes,20-02-2025,23-02-2025,Subscription,CMP712,31,1
SELL10194,Mobile Web,Books,Enterprise,North,19,12,1,4.16,No,Yes,Yes,17-02-2025,15-02-2025,Stored Value,CMP773,23,0.63
SELL10195,Mobile Web,Books,Small Business,West,6,5,1,1.42,Yes,No,Yes,01-04-2025,28-04-2025,One-Time Fee,CMP864,34,0.83
SELL10196,Web,Books,Small Business,West,18,18,1,2.85,Yes,No,Yes,06-02-2025,18-03-2025,Subscription,CMP207,19,1
SELL10197,Web,Fashion,Small Business,East,14,14,0,2.37,Yes,No,No,17-02-2025,,Subscription,CMP199,29,1
SELL10198,Web,Electronics,Individual,East,15,10,1,3.59,Yes,Yes,Yes,17-04-2025,25-03-2025,One-Time Fee,CMP263,22,0.67
SELL10199,Web,Books,Enterprise,South,18,13,0,1.75,No,No,Yes,18-02-2025,,One-Time Fee,CMP728,13,0.72
